"","Df","SS","MS","Rsq","F","Z","Pr(>F)"
"size",1,35377.5868860902,35377.5868860902,0.527147072242171,368.774166624959,5.05736819309427,0.001
"sp",1,275.584259934723,275.584259934723,0.00410636927409352,2.87267631112347,2.32021338395006,0.011
"size:sp",1,193.201834497042,193.201834497042,0.00287882216881721,2.01392609779931,1.66798092879356,0.04
"Residuals",220,21105.2449421035,95.932931555016,0.314480694118742,NA,NA,NA
"Total",223,67111.41681128,NA,NA,NA,NA,NA
