1.55	0.717	3.88	1.599	4.368	3.778	3.123	-0.193	4.566	5.573	-0.896	3.499	3.893	1.29	1.724	0.438	4.051	3.239	1.753	1.439	-0.875	4.08	4.391	2.718	-2.63	0.056	0.395	0.515	2.946	1.427	1.859	2.489	0.701	2.186	-1.699	2.35	3.422	2.843	0.638
0.717	9.902	3.71	0.911	2.686	4.768	-1.412	-0.801	2.623	7.371	1.558	3.797	4.772	1.797	-0.44	-0.43	1.199	-2.237	2.458	-0.993	8.384	6.941	0.085	3.271	4.093	6.772	0.829	0.85	-0.208	-0.09	2.54	3.376	4.463	1.784	-9.723	2.738	-2.408	3.586	0.524
3.88	3.71	16.3	0.463	12.873	11.235	9.317	-2.668	16.113	9.457	-2.418	12.643	9.602	2.5	-1.845	1.261	10.58	7.802	3.24	3.326	4.32	9.006	12.927	5.603	0	-0.054	3.009	-3.411	7.609	3.143	6.071	0.114	2.546	8.8	0.14	7.007	6.321	1.684	1.18
1.599	0.911	0.463	8.22	5.071	7.121	3.136	5.154	5.637	2.189	3.368	2.608	1.688	-0.856	-0.455	-2.052	-1.742	-1.612	-4.601	-3.973	-7.329	-1.203	4.24	-1.944	0.091	-0.938	-0.23	2.597	1.706	1.861	2.591	-1.26	-0.225	1.56	1.814	2.851	0.188	2.305	-0.139
4.368	2.686	12.873	5.071	16.841	12.027	5.59	1.509	12.434	15.191	0.017	8.351	8.755	4.253	-0.325	6.984	11.282	11.8	8.723	7.069	2.062	6.665	17.742	5.747	-7.186	0.81	2.45	3.521	2.231	4.75	7.445	2.657	0.453	3.775	-1.582	4.685	13.304	2.135	2.652
3.778	4.768	11.235	7.121	12.027	13.659	5.656	3.935	13.445	7.546	-0.477	8.176	4.926	0.909	-1.224	3.596	9.114	8.309	6.049	3.322	3.795	8.106	7.829	2.307	-0.258	-0.315	2.253	1.497	5.173	4.278	6.093	-0.768	2.041	4.968	-2.521	4.015	9.042	3.178	0.701
3.123	-1.412	9.317	3.136	5.59	5.656	16.053	3.357	12.061	-6.071	-1.552	10.11	-3.604	-5.596	-0.635	2.19	3.733	7.612	0.554	0.557	0.931	7.19	10.419	-0.457	-0.763	-4.06	-1.336	0.314	2.311	-1.323	0.539	-5.396	-3.898	3.439	4.516	4.021	11.496	2.464	-0.178
-0.193	-0.801	-2.668	5.154	1.509	3.935	3.357	7.648	3.986	0.448	2.534	3.642	1.302	-1.676	-3.804	-2.241	-5.581	1.041	-3.454	-0.252	-5.545	2.079	-0.33	-2.217	-1.456	-4.129	-1.987	-1.096	-1.595	-0.278	-2.337	-1.516	-2.572	0.502	-1.6	0.738	-4.886	-0.761	-0.888
4.566	2.623	16.113	5.637	12.434	13.445	12.061	3.986	24.038	17.61	1.079	16.387	14.063	9.582	-0.846	8.87	13.555	17.492	10.865	9.154	0.715	13.218	25.234	7.892	-5.661	1.231	0.414	-1.473	2.432	3.591	8.725	-0.093	-0.017	9.178	1.357	12.369	16.931	5.46	2.524
5.573	7.371	9.457	2.189	15.191	7.546	-6.071	0.448	17.61	33.453	3.77	5.816	13.13	9.805	5.852	7.152	14.68	14.992	20.562	8.509	3.657	6.103	13.255	9.64	8.513	3.086	6.896	7.808	8.202	6.977	7.002	10.386	13.149	5.863	-6.662	5.166	17.178	3.283	6.939
-0.896	1.558	-2.418	3.368	0.017	-0.477	-1.552	2.534	1.079	3.77	4.479	0.801	-0.787	-4.759	-4.303	-1.102	0.272	-0.806	1.451	-0.204	3.294	1.459	0.78	-0.443	8.432	3.824	0.248	1.014	1.547	-1.599	-0.109	-5.061	1.606	-4.257	-6.602	-1.881	-3.42	1.838	-1.745
3.499	3.797	12.643	2.608	8.351	8.176	10.11	3.642	16.387	5.816	0.801	22.928	5.728	0.967	-0.692	3.849	10.058	9.898	7.303	3.305	2.614	13.307	14.839	3.52	9.053	-0.945	-0.996	-5.234	7.565	3.425	7.035	-9.911	2.201	9.957	-1.586	9.413	13.643	6.568	-0.936
3.893	4.772	9.602	1.688	8.755	4.926	-3.604	1.302	14.063	13.13	-0.787	5.728	22.182	3.082	0.922	1.027	4.874	12.34	15.743	7.358	-0.28	6.965	11.686	4.477	6.843	-3.59	2.89	1.436	3.028	5.749	2.826	3.873	4.447	1.342	-5.821	3.339	16.004	1.235	6.106
1.29	1.797	2.5	-0.856	4.253	0.909	-5.596	-1.676	9.582	9.805	-4.759	0.967	3.082	19.288	5.836	6.96	8.615	7.528	12.673	12.007	1.187	7.754	12.182	4.105	1.588	5.769	4.286	3.309	-1	3.519	6.453	0.477	-0.047	0.74	12.44	10.554	8.755	9.121	0.433
1.724	-0.44	-1.845	-0.455	-0.325	-1.224	-0.635	-3.804	-0.846	5.852	-4.303	-0.692	0.922	5.836	21.741	1.715	3.001	0.195	2.23	-5.363	-8.038	1.724	5.078	3.649	0.976	4.934	2.199	3.838	2.964	2.451	6.641	5.376	6.015	7.944	6.108	8.264	-2.019	5.734	-0.217
0.438	-0.43	1.261	-2.052	6.984	3.596	2.19	-2.241	8.87	7.152	-1.102	3.849	1.027	6.96	1.715	10.589	6.349	5.26	12.139	15.389	4.431	5.785	7.581	3.64	0.743	4.523	1.695	3.203	1.781	1.178	6.655	0.292	0.788	3.056	3.619	8.314	10.615	4.771	1.65
4.051	1.199	10.58	-1.742	11.282	9.114	3.733	-5.581	13.555	14.68	0.272	10.058	4.874	8.615	3.001	6.349	26.505	17.913	12.585	18.123	5.62	13.109	14.141	6.558	15.123	11.749	3.604	7.107	13.013	3.431	11.364	0.365	5.54	5.869	-0.178	10.144	16.302	7.15	3.975
3.239	-2.237	7.802	-1.612	11.8	8.309	7.612	1.041	17.492	14.992	-0.806	9.898	12.34	7.528	0.195	5.26	17.913	21.579	10.516	13.545	2.134	10.748	11.501	4.99	5.835	0.729	2.296	2.084	6.093	6.204	4.902	1.537	2.384	9.163	5.374	11.121	19.386	0.939	4.845
1.753	2.458	3.24	-4.601	8.723	6.049	0.554	-3.454	10.865	20.562	1.451	7.303	15.743	12.673	2.23	12.139	12.585	10.516	28.239	15.523	6.031	8.278	7.975	5.59	11.699	8.077	5.001	3.865	7.107	1.74	5.15	-0.829	11.854	10.396	6.856	12.795	14.767	4.798	1.841
1.439	-0.993	3.326	-3.973	7.069	3.322	0.557	-0.252	9.154	8.509	-0.204	3.305	7.358	12.007	-5.363	15.389	18.123	13.545	15.523	28.622	6.476	5.222	5.391	0.492	-4.039	-2.998	2.666	-2.516	3.086	3.442	3.469	-1.214	-2.269	4.124	19.703	9.039	11.931	-1.656	2.164
